atal-block/ground.js | ID: atal-ground-main-entrance | Name: MAIN ENTRANCE | Label: MAIN ENTRANCE | x: 1507, y: 1106, w: 380, h: 140 (Lines 163-179)
atal-block/second.js | ID: atal-second-stairs-left-up | Name: STAIRS-UP | Label: STAIRS-UP | x: -846, y: 680, w: 100, h: 150 (Lines 28-44)
atal-block/second.js | ID: atal-second-stairs-left-down | Name: STAIRS-DOWN | Label: STAIRS-DOWN | x: -746, y: 680, w: 100, h: 150 (Lines 45-61)
atal-block/second.js | ID: atal-second-lift | Name: LIFT | Label: LIFT | x: -401, y: 611, w: 150, h: 150 (Lines 62-78)
atal-block/second.js | ID: atal-second-staff-room | Name: STAFFS ROOM | Label: STAFFS ROOM | x: 250, y: 610, w: 450, h: 150 (Lines 96-112)
atal-block/second.js | ID: atal-second-stairs-central-up | Name: STAIRS-UP | Label: STAIRS-UP | x: 936, y: 602, w: 193, h: 139 (Lines 113-129)
atal-block/second.js | ID: atal-second-stairs-central-down | Name: STAIRS-DOWN | Label: STAIRS-DOWN | x: 1181, y: 607, w: 193, h: 134 (Lines 130-146)
atal-block/second.js | ID: atal-second-aic-nitte | Name: AIC NITTE INCUBATION CENTRE | Label: AIC NITTE | x: 1480, y: 610, w: 350, h: 150 (Lines 147-163)
atal-block/second.js | ID: atal-second-coe-digital-manufacturing | Name: CENTRE OF EXCELLENCE IN DIGITAL MANUFACTURING | Label: COE DIGITAL MANUFACTURING | x: 600, y: 850, w: 450, h: 150 (Lines 266-282)
atal-block/third.js | ID: atal-third-stairs-left-down | Name: STAIRS-DOWN | Label: STAIRS-DOWN | x: -846, y: 680, w: 200, h: 150 (Lines 28-44)
atal-block/third.js | ID: atal-third-lift | Name: LIFT | Label: LIFT | x: -401, y: 611, w: 150, h: 150 (Lines 45-61)
rajraman-block/first.js | ID: rajraman-first-stairs-2 | Name: STAIRS-2 | Label: STAIRS-2 | x: 1302, y: 850, w: 127, h: 130 (Lines 63-79)
rajraman-block/first.js | ID: rajraman-first-stairs-1 | Name: STAIRS-1 | Label: STAIRS-1 | x: -273, y: 107, w: 272, h: 94 (Lines 199-215)
rajraman-block/first.js | ID: rajraman-first-ladies-toilet | Name: LADIES TOILET | Label: LADIES TOILET | x: 19, y: 103, w: 96, h: 91 (Lines 216-232)
rajraman-block/ground.js | ID: rajraman-ground-stairs-2 | Name: STAIRS-2 | Label: STAIRS-2 | x: 1304, y: 933, w: 127, h: 77 (Lines 64-80)
rajraman-block/ground.js | ID: rajraman-ground-stairs-1 | Name: STAIRS-1 | Label: STAIRS-1 | x: 160, y: 311, w: 103, h: 114 (Lines 166-182)
rajraman-block/second.js | ID: rajraman-second-stairs-2 | Name: STAIRS-2 | Label: STAIRS-2 | x: 1295, y: 933, w: 127, h: 100 (Lines 64-80)
rajraman-block/second.js | ID: rajraman-second-stairs-1 | Name: STAIRS-1 | Label: STAIRS-1 | x: -114, y: 356, w: 98, h: 82 (Lines 336-352)
rajraman-block/third.js | ID: rajraman-third-stairs-2 | Name: STAIRS-2 | Label: STAIRS-2 | x: 1210, y: 967, w: 184, h: 96 (Lines 22-38)
